1,Two Sum,Easy, https://leetcode.com/problems/two-sum,amazon; linkedin; intel; facebook; snapchat; godaddy; vmware; visa; oracle; facebook; oracle; godaddy; visa; intel; citadel; goldman-sachs; twilio; salesforce; salesforce; intel; godaddy; salesforce; servicenow; paypal; goldman-sachs; snapchat; goldman-sachs; mathworks; jpmorgan; cisco; nvidia; facebook; jpmorgan; samsung; visa; oracle; roblox; zoho; salesforce; roblox; zoho; citadel; cisco; mathworks; paypal; cisco; linkedin; goldman-sachs; samsung; amazon; nvidia; qualcomm; servicenow; servicenow; vmware; samsung; paypal; facebook; cisco; qualcomm; paypal; mathworks; vmware; amazon; roblox; qualcomm; nvidia; visa; airbnb; samsung; vmware; servicenow; linkedin; airbnb; twilio; amazon; oracle,
2,Add Two Numbers,Medium, https://leetcode.com/problems/add-two-numbers,amazon; facebook; vmware; oracle; facebook; intel; salesforce; salesforce; capital-one; intel; salesforce; servicenow; paypal; mathworks; nvidia; facebook; oracle; zoho; zoho; cisco; capital-one; paypal; cisco; amazon; nvidia; qualcomm; servicenow; vmware; paypal; facebook; cisco; qualcomm; paypal; capital-one; mathworks; vmware; amazon; zoho; qualcomm; airbnb; vmware; servicenow; airbnb; amazon; oracle,
3,Longest Substring Without Repeating Characters,Medium, https://leetcode.com/problems/longest-substring-without-repeating-characters,amazon; twitch; facebook; snapchat; vmware; oracle; facebook; oracle; goldman-sachs; salesforce; salesforce; salesforce; goldman-sachs; snapchat; goldman-sachs; cisco; facebook; oracle; zoho; zoho; cisco; paypal; cisco; goldman-sachs; samsung; amazon; vmware; samsung; paypal; facebook; cisco; vmware; amazon; zoho; twitch; vmware; amazon; oracle,
4,Median of Two Sorted Arrays,Hard, https://leetcode.com/problems/median-of-two-sorted-arrays,amazon; facebook; rubrik; godaddy; oracle; facebook; oracle; visa; goldman-sachs; rubrik; godaddy; goldman-sachs; goldman-sachs; jpmorgan; facebook; jpmorgan; visa; oracle; goldman-sachs; amazon; facebook; vmware; amazon; airbnb; vmware; airbnb; amazon; oracle,
5,Longest Palindromic Substring,Medium, https://leetcode.com/problems/longest-palindromic-substring,amazon; facebook; nutanix; godaddy; oracle; facebook; oracle; nutanix; nutanix; godaddy; servicenow; mathworks; jpmorgan; cisco; facebook; jpmorgan; oracle; roblox; roblox; cisco; paypal; cisco; samsung; amazon; servicenow; servicenow; samsung; paypal; facebook; cisco; nutanix; paypal; mathworks; vmware; amazon; airbnb; samsung; vmware; servicenow; airbnb; amazon; oracle,
6,ZigZag Conversion,Medium, https://leetcode.com/problems/zigzag-conversion,amazon; facebook; facebook; facebook; paypal; amazon; paypal; facebook; amazon; amazon,
7,Reverse Integer,Easy, https://leetcode.com/problems/reverse-integer,amazon; facebook; oracle; facebook; barclays; jpmorgan; facebook; jpmorgan; oracle; barclays; cisco; amazon; facebook; cisco; amazon; amazon; oracle,
8,String to Integer (atoi),Medium, https://leetcode.com/problems/string-to-integer-atoi,amazon; linkedin; facebook; vmware; oracle; facebook; oracle; citadel; goldman-sachs; goldman-sachs; goldman-sachs; cisco; nvidia; facebook; oracle; citadel; cisco; cisco; linkedin; goldman-sachs; amazon; nvidia; vmware; facebook; cisco; vmware; amazon; vmware; linkedin; amazon; oracle,
9,Palindrome Number,Easy, https://leetcode.com/problems/palindrome-number,amazon; facebook; oracle; jpmorgan; facebook; jpmorgan; oracle; amazon; amazon; amazon; oracle,
10,Regular Expression Matching,Hard, https://leetcode.com/problems/regular-expression-matching,amazon; facebook; databricks; databricks; oracle; facebook; oracle; palantir-technologies; databricks; palantir-technologies; facebook; oracle; amazon; facebook; databricks; amazon; airbnb; amazon; oracle,
