Match Number,Date,Location,Home Team,Away Team,Group,Result
1,14-06-2024 19:00,Fußball Arena München,Germany,Scotland,Group A,
2,15-06-2024 13:00,Stadion Köln,Hungary,Switzerland,Group A,
3,15-06-2024 16:00,Olympiastadion,Spain,Croatia,Group B,
4,15-06-2024 19:00,BVB Stadion Dortmund,Italy,Albania,Group B,
5,16-06-2024 13:00,Volksparkstadion,Poland,Netherlands,Group D,
6,16-06-2024 16:00,Arena Stuttgart,Slovenia,Denmark,Group C,
7,16-06-2024 19:00,Arena AufSchalke,Serbia,England,Group C,
8,17-06-2024 13:00,Fußball Arena München,Romania,Ukraine,Group E,
9,17-06-2024 16:00,Frankfurt Stadion,Belgium,Slovakia,Group E,
10,17-06-2024 19:00,Düsseldorf Arena,Austria,France,Group D,
11,18-06-2024 16:00,BVB Stadion Dortmund,Türkiye,Georgia,Group F,
12,18-06-2024 19:00,RB Arena,Portugal,Czechia,Group F,
13,19-06-2024 13:00,Volksparkstadion,Croatia,Albania,Group B,
14,19-06-2024 16:00,Arena Stuttgart,Germany,Hungary,Group A,
15,19-06-2024 19:00,Stadion Köln,Scotland,Switzerland,Group A,
16,20-06-2024 13:00,Fußball Arena München,Slovenia,Serbia,Group C,
17,20-06-2024 16:00,Frankfurt Stadion,Denmark,England,Group C,
18,20-06-2024 19:00,Arena AufSchalke,Spain,Italy,Group B,
19,21-06-2024 13:00,Düsseldorf Arena,Slovakia,Ukraine,Group E,
20,21-06-2024 16:00,Olympiastadion,Poland,Austria,Group D,
21,21-06-2024 19:00,RB Arena,Netherlands,France,Group D,
22,22-06-2024 13:00,Volksparkstadion,Georgia,Czechia,Group F,
23,22-06-2024 16:00,BVB Stadion Dortmund,Türkiye,Portugal,Group F,
24,22-06-2024 19:00,Stadion Köln,Belgium,Romania,Group E,
25,23-06-2024 19:00,Frankfurt Stadion,Switzerland,Germany,Group A,
26,23-06-2024 19:00,Arena Stuttgart,Scotland,Hungary,Group A,
27,24-06-2024 19:00,Düsseldorf Arena,Albania,Spain,Group B,
28,24-06-2024 19:00,RB Arena,Croatia,Italy,Group B,
29,25-06-2024 16:00,Olympiastadion,Netherlands,Austria,Group D,
30,25-06-2024 16:00,BVB Stadion Dortmund,France,Poland,Group D,
31,25-06-2024 19:00,Stadion Köln,England,Slovenia,Group C,
32,25-06-2024 19:00,Fußball Arena München,Denmark,Serbia,Group C,
33,26-06-2024 16:00,Frankfurt Stadion,Slovakia,Romania,Group E,
34,26-06-2024 16:00,Arena Stuttgart,Ukraine,Belgium,Group E,
35,26-06-2024 19:00,Arena AufSchalke,Georgia,Portugal,Group F,
36,26-06-2024 19:00,Volksparkstadion,Czechia,Türkiye,Group F,
38,29-06-2024 16:00,Olympiastadion,2A,2B,,
37,29-06-2024 19:00,BVB Stadion Dortmund,1A,2C,,
40,30-06-2024 16:00,Arena AufSchalke,1C,3D/E/F,,
39,30-06-2024 19:00,Stadion Köln,1B,3A/D/E/F,,
42,01-07-2024 16:00,Düsseldorf Arena,2D,2E,,
41,01-07-2024 19:00,Frankfurt Stadion,1F,3A/B/C,,
43,02-07-2024 16:00,Fußball Arena München,1E,3A/B/C/D,,
44,02-07-2024 19:00,RB Arena,1D,2F,,
45,05-07-2024 16:00,Arena Stuttgart,To be announced,To be announced,,
46,05-07-2024 19:00,Volksparkstadion,To be announced,To be announced,,
48,06-07-2024 16:00,Düsseldorf Arena,To be announced,To be announced,,
47,06-07-2024 19:00,Olympiastadion,To be announced,To be announced,,
49,09-07-2024 19:00,Fußball Arena München,To be announced,To be announced,,
50,10-07-2024 19:00,BVB Stadion Dortmund,To be announced,To be announced,,
51,14-07-2024 19:00,Olympiastadion,To be announced,To be announced,,
